Contract ID,Description,Estimate,City,License Type,Business Type
01-0L7404,"| 0 bidder inquiries  | Download filesCorrugated steel pipe, structural concrete headwall, remove culvert.01-Men-128-37.4/49.4 * Date Advertised 04/22/2024Bids Opening in Sacramento * Bids Open 05/21/2024 Estimate: $460,000 In Mendocino County At Various Locations From 0.9 Mile East Of Fish Rock Road - Road 122 To 1.5 Miles West Of End Of County The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-42.35 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 11 opt-in records | Primes: Advertise for help  | 1 prime contractor looking for helpSee Non-Bidding Planholders | See Bidding Planholders","460,000 ",Mendocino,Class A,Small Business Preference
01-0M5804,"| 1 bidder inquiry  | See addenda (1) | Download filesCSP and DD, drainage inlet, and cable anchorage system.01-Men-20-13.1/14.7 * Date Advertised 04/15/2024Bids Opening in Sacramento * Bids Open 05/14/2024 Estimate: $430,000 In Mendocino County At Various Locations From 2.5 Miles East Of Parlin Fork Camp Road To 2.6 Miles West Of Road 200a The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-42.25 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 9 opt-in records | Primes: Advertise for help  | 1 prime contractor looking for helpSee Non-Bidding Planholders | See Bidding Planholders","430,000 ",Mendocino,Class A,Small Business Preference
01-0M6004,"| 0 bidder inquiries  | Download filesCSP, remove culvert and cable anchorage system.01-Men-162-0.8/1.1 * Date Advertised 04/29/2024Bids Opening in Sacramento * Bids Open 05/23/2024 Estimate: $410,000 In Mendocino County At Various Locations From 0.8 Mile East Of Junction 101 To 1.1 Miles West Of Corral Creek Bridge 10-234 The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-42.25 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 8 opt-in records | Primes: Advertise for help  | 2 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","410,000 ",Mendocino,Class A,Small Business Preference
01-0M6704,"| 0 bidder inquiries  | Download filesMicro-surfacing, pavement delineation, and replace AC surfacing.01-DN-101-R27.9/31.2 * Date Advertised 04/22/2024Bids Opening in Sacramento * Bids Open 05/22/2024 Estimate: $1,390,000 In Del Norte County Near Crescent City From Washington Boulevard Overcrossing To Elk Valley Cross Road The Contractor must have either a Class A license or one of the following Class C licenses which constitutes a majority of the work: C-12, C-3230 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 11 opt-in records | Primes: Advertise for help  | 2 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","1,390,00",Del Norte,Class A,Small Business Preference
02-0K0104,"| 3 bidder inquiries  | Download filesRoadside sign - one post, thermoplastic striping and marking.02-Teh-5-R5.6/42.0 * Date Advertised 04/15/2024Bids Opening in Sacramento * Bids Open 05/14/2024 Estimate: $840,000 In Tehama County Near Corning At Various Locations From 0.2 Mile South Of Liberal Avenue Overcrossing To Cottonwood Creek Bridge Overhead The Contractor must have either a Class A license or any combination of the following Class C licenses which constitutes a majority of the work:  C-32, C-45, C-61 D-42.30 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 8 opt-in records | Primes: Advertise for help  | 6 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","840,000 ",Tehama Cou,Class A,Small Business Preference
02-0K3904,"| 4 bidder inquiries  | See addenda (2) | Download filesRoadside sign - one post, remove roadside sign.02-Las,Plu,Sha,Sis,Teh-99,151,263,284,395-Var * Date Advertised 04/08/2024Bids Opening in Sacramento * Bids Open 05/15/2024 Estimate: $340,000 In Lassen, Plumas, Shasta, Siskiyou, And Tehama Counties At Various Locations The Contractor must have either a Class A license or one of the following Class C licenses: C-45, C-61 D-4270 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 8 opt-in records | Primes: Advertise for help  | 3 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","340,000 ","Lassen, Pl",Class A,Small Business Preference
02-1J7004,"| 0 bidder inquiries  | Download filesConstruct disposal site.02-Tri-299-46.2 * Date Advertised 04/29/2024Bids Opening in Sacramento * Bids Open 05/23/2024 Estimate: $1,170,000 In Trinity County Near Junction City At 0.7 Mile East Of Slattery Pond Road The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.60 Working Days * 3% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 6 opt-in records | Primes: Advertise for help  | 2 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","1,170,00",Trinity Co,Class A,Small Business Preference
02-3H70U4,"| 0 bidder inquiries  | Download filesRHMA-G, HMA (Type A), cold plane AC, & soldier pile retaining wall.02-Tri-299-15.0/25.7 * Date Advertised 04/29/2024Bids Opening in Sacramento * Bids Open 06/18/2024 Estimate: $16,800,000 In Trinity County Near Del Loma From 1.0 Mile East Of Trinity River Bridge No.05-0006 To 0.1 Mile West Of Prairie Creek Road The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.120 Working Days * 21% DBE Requirement *   Subs/Suppliers: Opt In  | See 23 opt-in records | Primes: Advertise for help  | 2 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","16,800,0",Trinity Co,Class A,N/A
02-4J1404,"| 0 bidder inquiries  | Download filesInstall grinder pump, add changing stations, & stripe ADA parking.02-Sis-97-21.8 * Date Advertised 04/29/2024Bids Opening in Sacramento * Bids Open 05/22/2024 Estimate: $490,000 In Siskiyou County About 22 Miles North Of Weed At Grass Lake Safety Roadside Rest Area The Contractor must have either a Class A license or Class B license or a combination of Class C licenses which constitutes a majority of the work.105 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 6 opt-in records | Primes: Advertise for help  | 2 prime contractors looking for helpSee Non-Bidding Planholders | See Bidding Planholders","490,000 ",tall grind,Class A,Small Business Preference
02-4J8204,"| 0 bidder inquiries  | See addenda (1) | Download filesPlace asphalt rubber chip seal with replace AC surfacing .02-Mod-299-14.7/20.0 * Date Advertised 04/29/2024Bids Opening in Sacramento * Bids Open 05/29/2024 Estimate: $760,000 In Modoc County Near Canby From 0.1 Mile East Of County Road 85 To 1.7 Miles West Of Route 139 The Contractor must have either a Class A license or the following Class C license which constitutes a majority of the work:   C-12.25 Working Days * 5% DVBE Requirement.  *  Small Business Preference applies.5% SBE Requirement *   Subs/Suppliers: Opt In  | See 8 opt-in records | Primes: Advertise for help  | 1 prime contractor looking for helpSee Non-Bidding Planholders | See Bidding Planholders","760,000 ",Modoc Coun,Class A,Small Business Preference
